日付,都道府県名,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-02-17, 三重県 ,152,131,３／３,373,0.3512064343163539,373,11,３／３,53,0.20754716981132076,53,1,３／３,100,0.01,100,20,0,0
2021-02-17, 滋賀県,147,102,３／３,351,0.2905982905982906,349,7,３／３,47,0.14893617021276595,62,28,３／３,403,0.06947890818858561,420,16,0,1
2021-02-17, 京都府 ,482,125,３／３,416,0.3004807692307692,416,19,３／３,86,0.22093023255813954,86,16,３／３,826,0.01937046004842615,826,341,0,0
2021-02-17, 大阪府 ,1689,809,４／４,1949,0.4150846587993843,1949,190,４／４,408,0.46568627450980393,215,275,３／３,2416,0.11382450331125828,2416,454,0,151
2021-02-17, 兵庫県 ,663,372,６／６,839,0.4433849821215733,750,54,６／６,116,0.46551724137931033,120,96,６／６,1130,0.08495575221238938,1000,0,0,195
2021-02-17, 奈良県 ,139,104,３／３,370,0.2810810810810811,500,4,３／３,27,0.14814814814814814,25,23,３／３,254,0.09055118110236221,250,0,0,12
2021-02-17, 和歌山県 ,50,50,２／４,400,0.125,400,0,２／４,40,0,40,0,２／４,137,0,137,0,0,0
2021-02-17, 鳥取県,3,3,２／３,313,0.009584664536741214,300,0,２／３,47,0,40,0,１／３,340,0,150,0,0,0
2021-02-17, 島根県,6,6,１／５,253,0.023715415019762844,253,1,１／５,25,0.04,25,0,１／５,98,0,98,0,0,0
2021-02-17, 岡山県,89,63,２／４,401,0.1571072319201995,250,3,２／４,37,0.08108108108108109,40,14,２／４,207,0.06763285024154589,180,7,5,0
2021-02-17, 広島県,124,69,３／３,477,0.14465408805031446,500,6,３／３,36,0.16666666666666666,70,40,３／３,1038,0.038535645472061654,1400,15,0,0
2021-02-17, 山口県,129,86,３／３,475,0.18105263157894738,475,1,３／３,124,0.008064516129032258,137,43,１／３,834,0.05155875299760192,834,0,0,0
2021-02-17, 徳島県,50,47,２／４,200,0.235,200,1,２／４,25,0.04,25,3,２／４,180,0.016666666666666666,180,0,0,0
2021-02-17, 香川県,39,26,３／３,199,0.1306532663316583,199,1,３／３,26,0.038461538461538464,26,12,３／３,101,0.1188118811881188,101,0,1,0
2021-02-17, 愛媛県 ,32,18,３／３,270,0.06666666666666667,223,1,３／３,33,0.030303030303030304,33,5,３／３,192,0.026041666666666668,117,4,5,0
2021-02-17, 高知県 ,20,8,３／４,200,0.04,200,1,３／４,58,0.017241379310344827,57,12,３／４,203,0.059113300492610835,190,0,0,0
2021-02-17, 福岡県,1110,485,３／３,732,0.662568306010929,760,29,３／３,110,0.2636363636363636,110,246,３／３,1387,0.1773612112472963,1200,333,46,0
2021-02-17, 佐賀県 ,30,18,４／４,328,0.054878048780487805,328,1,４／４,46,0.021739130434782608,46,12,１／４,377,0.03183023872679045,377,0,0,0
2021-02-17, 長崎県,83,60,４／４,424,0.14150943396226415,421,3,４／４,38,0.07894736842105263,42,7,４／４,384,0.018229166666666668,384,16,0,0
2021-02-17, 熊本県,74,67,３／３,473,0.1416490486257928,420,10,３／３,59,0.1694915254237288,59,4,３／３,230,0.017391304347826087,140,3,0,0
2021-02-17, 大分県,65,52,２／４,367,0.14168937329700274,367,0,２／４,43,0,43,10,１／２,700,0.014285714285714285,170,3,0,0
2021-02-17, 宮崎県,62,25,３／３,274,0.09124087591240876,274,0,３／３,33,0,33,18,３／３,250,0.072,250,19,0,0
2021-02-17, 鹿児島県 ,92,62,３／４,363,0.17079889807162535,300,4,３／４,40,0.1,48,28,３／４,577,0.04852686308492201,370,2,0,0
2021-02-17, 沖縄県,311,239,５／５,473,0.5052854122621564,425,21,５／５,53,0.39622641509433965,51,38,５／５,440,0.08636363636363636,340,30,4,0
2021-02-17,合計,19641,9575,,29585,,27878,1020,,3624,,3653,2566,,29640,,27359,5756,291,1453
