死因,年,月,年月日,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,不詳,合計
Se28 喘息,2011,2,2011-02-01,0,0,0,0,1,1,0,0,2,2,2,4,6,9,13,18,37,42,30,11,3,0,0,2,0,4,6,15,31,123,0,181
Se29 肝疾患,2011,2,2011-02-01,3,0,0,0,0,1,4,8,34,56,90,114,139,174,159,202,153,107,52,27,7,3,0,1,12,90,204,313,361,346,0,1330
Se30 腎不全,2011,2,2011-02-01,1,0,1,0,0,0,0,1,6,10,12,33,54,65,149,255,421,486,395,169,28,1,1,0,1,16,45,119,404,1499,0,2086
Se31 老衰,2011,2,2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,108,396,843,1265,1150,444,0,0,0,0,0,0,6,140,4098,0,4244
Se32 不慮の事故,2011,2,2011-02-01,16,6,4,29,38,22,42,55,61,70,92,140,234,224,369,492,657,563,330,142,35,22,33,60,97,131,232,458,861,1727,1,3622
Se33 交通事故,2011,2,2011-02-01,4,4,2,21,26,8,15,19,15,23,23,28,57,38,53,64,58,28,9,5,0,8,23,34,34,38,51,95,117,100,0,500
Se34 自殺,2011,2,2011-02-01,0,0,5,23,82,110,128,181,149,163,167,187,233,156,114,106,80,39,20,4,0,0,28,192,309,312,354,389,220,143,8,1955
総数,2011,3,2011-03-01,335,93,63,147,240,331,412,696,904,1324,1913,3460,6221,7309,9919,15120,20026,19847,14671,7278,1787,428,210,571,1108,2228,5373,13530,25039,63609,59,112155
Se01 結核,2011,3,2011-03-01,0,0,0,0,0,0,1,1,0,1,3,6,11,10,14,26,37,49,33,8,0,0,0,0,2,1,9,21,40,127,0,200
Se02 悪性新生物＜腫瘍＞,2011,3,2011-03-01,6,15,5,16,17,25,69,149,221,414,693,1496,2863,3191,4139,5271,5365,3901,1912,625,84,21,21,42,218,635,2189,6054,9410,11887,1,30478
Se03 食道の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,0,0,0,4,4,8,28,75,145,175,190,185,110,63,35,6,1,0,0,0,4,12,103,320,375,215,0,1029
Se04 胃の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,1,2,11,22,27,48,85,190,391,469,597,767,739,557,325,102,9,0,0,3,33,75,275,860,1364,1732,1,4343
Se05 結腸の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,2,2,2,5,7,17,29,52,109,210,224,337,417,466,399,236,86,13,0,2,4,12,46,161,434,754,1200,0,2613
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,0,2,3,8,8,26,47,77,189,148,173,169,179,133,62,23,5,0,0,2,11,34,124,337,342,402,0,1252
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2011,3,2011-03-01,1,0,0,1,0,0,2,6,8,29,49,104,280,312,461,624,488,283,98,27,5,1,1,0,8,37,153,592,1085,901,0,2778
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,0,0,1,1,5,2,13,41,99,125,189,246,320,303,162,44,8,0,0,0,2,7,54,224,435,837,0,1559
Se09 膵の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,0,1,0,6,11,22,49,118,244,299,341,409,395,300,132,39,8,0,0,1,6,33,167,543,750,874,0,2374
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,1,0,2,6,24,54,108,271,523,642,835,1132,1220,738,334,105,11,0,0,1,8,78,379,1165,1967,2408,0,6006
Se11 乳房の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,0,3,5,16,38,64,84,128,165,116,112,113,108,78,40,20,3,0,0,3,21,102,212,281,225,249,0,1093
Se12 子宮の悪性新生物＜腫瘍＞,2011,3,2011-03-01,0,0,0,0,0,0,8,15,21,26,27,59,61,51,39,58,61,46,21,7,1,0,0,0,23,47,86,112,97,136,0,501
Se13 白血病,2011,3,2011-03-01,0,3,3,6,3,4,8,11,7,18,22,38,63,61,89,118,114,71,23,7,0,3,9,7,19,25,60,124,207,215,0,669
Se14 糖尿病,2011,3,2011-03-01,0,0,0,1,2,2,1,3,4,19,33,48,91,106,153,211,253,213,137,54,10,0,1,4,4,23,81,197,364,667,1,1342
Se15 高血圧性疾患,2011,3,2011-03-01,0,0,0,0,0,0,0,2,1,0,8,10,14,9,34,57,115,162,163,97,22,0,0,0,2,1,18,23,91,559,0,694
Se16 心疾患（高血圧性を除く）,2011,3,2011-03-01,11,0,1,13,16,19,34,47,106,160,241,400,799,953,1354,2304,3425,3777,3039,1568,322,11,14,35,81,266,641,1752,3658,12131,3,18592
Se17 急性心筋梗塞,2011,3,2011-03-01,0,0,0,0,0,3,7,10,36,51,88,107,271,304,380,616,811,802,456,196,21,0,0,3,17,87,195,575,996,2286,1,4160
Se18 その他の虚血性心疾患,2011,3,2011-03-01,0,0,0,1,5,5,5,11,17,38,55,89,190,214,329,521,635,604,417,165,38,0,1,10,16,55,144,404,850,1859,0,3339
Se19 不整脈及び伝導障害,2011,3,2011-03-01,1,0,0,1,5,2,6,9,19,29,35,77,113,130,207,329,505,504,399,198,33,1,1,7,15,48,112,243,536,1639,1,2603
Se20 心不全,2011,3,2011-03-01,0,0,0,0,4,7,6,10,25,27,41,80,150,218,312,583,1159,1430,1466,873,205,0,0,11,16,52,121,368,895,5133,0,6596
Se21 脳血管疾患,2011,3,2011-03-01,0,1,4,0,1,6,11,46,71,122,149,267,470,627,919,1523,2280,2302,1801,833,159,1,4,7,57,193,416,1097,2442,7375,1,11593
Se22 くも膜下出血,2011,3,2011-03-01,0,0,0,0,1,2,4,21,31,46,47,78,107,104,140,166,195,173,75,22,3,0,0,3,25,77,125,211,306,468,0,1215
Se23 脳内出血,2011,3,2011-03-01,0,1,4,0,0,1,5,22,36,59,77,147,238,277,346,462,635,539,316,115,16,1,4,1,27,95,224,515,808,1621,0,3296
Se24 脳梗塞,2011,3,2011-03-01,0,0,0,0,0,2,2,1,2,10,15,35,107,224,405,854,1388,1550,1367,673,136,0,0,2,3,12,50,331,1259,5114,1,6772
Se25 大動脈瘤及び解離,2011,3,2011-03-01,0,0,0,0,0,1,2,3,4,13,27,35,87,116,164,221,359,302,176,58,5,0,0,1,5,17,62,203,385,900,0,1573
Se26 肺炎,2011,3,2011-03-01,16,1,2,2,4,3,5,12,17,18,36,87,196,281,594,1221,2282,2668,2208,1078,288,17,4,7,17,35,123,477,1815,8524,1,11020
Se27 慢性閉塞性肺疾患,2011,3,2011-03-01,0,2,0,0,0,0,0,0,0,0,2,10,22,63,92,251,366,410,227,89,12,2,0,0,0,0,12,85,343,1104,1,1547
Se28 喘息,2011,3,2011-03-01,0,0,0,0,1,0,2,2,2,3,5,4,5,9,19,28,35,35,27,14,4,0,0,1,4,5,9,14,47,115,0,195
Se29 肝疾患,2011,3,2011-03-01,0,1,0,0,0,0,5,22,29,66,82,114,178,193,176,200,162,137,64,15,1,1,0,0,27,95,196,371,376,379,0,1445
Se30 腎不全,2011,3,2011-03-01,1,0,0,0,0,1,0,6,4,2,18,31,61,82,154,290,472,589,388,198,35,1,0,1,6,6,49,143,444,1682,1,2333
Se31 老衰,2011,3,2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,116,438,906,1433,1256,517,0,0,0,0,0,0,7,141,4550,0,4698
Se32 不慮の事故,2011,3,2011-03-01,67,48,26,69,64,93,87,138,137,133,193,273,407,414,480,716,886,708,392,135,32,115,95,157,225,270,466,821,1196,2153,16,5514
Se33 交通事故,2011,3,2011-03-01,4,2,1,16,18,25,18,19,24,23,23,27,43,51,53,65,71,39,7,1,1,6,17,43,37,47,50,94,118,119,0,531
Se34 自殺,2011,3,2011-03-01,0,0,6,30,108,143,152,179,187,195,195,248,253,195,125,122,83,53,19,3,0,0,36,251,331,382,443,448,247,158,11,2307
総数,2011,4,2011-04-01,323,47,59,143,248,289,429,636,932,1256,1929,3004,5908,6852,9290,14037,18297,18412,13764,6752,1732,370,202,537,1065,2188,4933,12760,23327,58957,184,104523
Se01 結核,2011,4,2011-04-01,0,0,0,0,0,0,0,0,1,2,3,3,6,9,17,19,36,49,18,10,0,0,0,0,0,3,6,15,36,113,0,173
Se02 悪性新生物＜腫瘍＞,2011,4,2011-04-01,6,3,12,12,13,30,56,130,237,389,700,1316,2844,3145,3866,5062,5068,3575,1784,596,90,9,24,43,186,626,2016,5989,8928,11113,1,28935
Se03 食道の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,0,0,0,1,3,7,31,53,139,143,167,150,126,71,28,7,0,0,0,0,1,10,84,282,317,232,0,926
Se04 胃の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,1,4,7,17,32,50,79,177,415,415,506,694,689,571,294,106,8,0,0,5,24,82,256,830,1200,1668,0,4065
Se05 結腸の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,0,1,7,14,13,32,51,85,215,244,263,390,434,371,231,59,15,0,0,1,21,45,136,459,653,1110,0,2425
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,1,0,2,3,4,15,41,69,164,172,177,174,152,115,57,14,3,0,0,1,5,19,110,336,351,341,0,1163
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2011,4,2011-04-01,1,0,0,0,0,1,2,4,4,17,54,102,243,315,414,625,471,271,118,38,3,1,0,1,6,21,156,558,1039,901,1,2684
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,1,0,0,2,4,7,20,31,86,112,176,239,300,258,142,62,4,0,0,1,2,11,51,198,415,766,0,1444
Se09 膵の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,0,1,1,3,9,29,55,128,266,298,343,436,375,244,113,40,6,0,0,1,4,38,183,564,779,778,0,2347
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,1,1,4,9,24,49,93,207,526,666,837,1076,1132,637,301,94,12,0,0,2,13,73,300,1192,1913,2176,0,5669
Se11 乳房の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,0,2,4,23,43,64,83,127,168,126,93,86,84,67,33,15,2,0,0,2,27,107,210,294,179,201,0,1020
Se12 子宮の悪性新生物＜腫瘍＞,2011,4,2011-04-01,0,0,0,0,0,3,5,10,24,21,29,32,62,43,52,60,49,41,29,7,3,0,0,3,15,45,61,105,112,129,0,470
Se13 白血病,2011,4,2011-04-01,2,1,2,4,1,4,6,8,6,20,16,28,60,73,98,114,124,56,23,8,1,3,6,5,14,26,44,133,212,212,0,655
Se14 糖尿病,2011,4,2011-04-01,0,0,1,0,0,0,1,5,9,12,24,49,88,104,166,179,257,202,132,58,9,0,1,0,6,21,73,192,345,658,0,1296
Se15 高血圧性疾患,2011,4,2011-04-01,0,0,0,0,0,1,0,2,2,3,0,3,18,21,28,54,87,106,122,81,27,0,0,1,2,5,3,39,82,423,0,555
Se16 心疾患（高血圧性を除く）,2011,4,2011-04-01,11,2,1,1,11,21,37,48,100,154,245,329,671,825,1198,2014,2920,3490,2844,1416,339,13,2,32,85,254,574,1496,3212,11009,3,16680
Se17 急性心筋梗塞,2011,4,2011-04-01,0,0,0,0,2,2,6,8,41,48,90,102,202,255,343,545,678,691,449,157,23,0,0,4,14,89,192,457,888,1998,0,3642
Se18 その他の虚血性心疾患,2011,4,2011-04-01,0,0,0,0,1,2,7,11,21,33,61,82,178,202,288,414,546,489,351,159,27,0,0,3,18,54,143,380,702,1572,0,2872
Se19 不整脈及び伝導障害,2011,4,2011-04-01,0,0,0,1,2,5,6,15,15,34,45,47,100,117,168,297,420,512,351,162,33,0,1,7,21,49,92,217,465,1478,1,2331
Se20 心不全,2011,4,2011-04-01,4,0,1,0,3,7,12,6,15,23,32,64,126,162,275,550,997,1394,1403,790,235,4,1,10,18,38,96,288,825,4819,2,6101
Se21 脳血管疾患,2011,4,2011-04-01,2,1,2,1,3,3,13,31,83,119,160,244,464,575,856,1417,2101,2194,1696,756,164,3,3,6,44,202,404,1039,2273,6911,5,10890
Se22 くも膜下出血,2011,4,2011-04-01,1,1,1,0,2,1,7,19,34,48,59,67,128,102,121,176,187,156,70,15,3,2,1,3,26,82,126,230,297,431,0,1198
Se23 脳内出血,2011,4,2011-04-01,1,0,1,1,0,2,3,11,39,53,89,126,225,231,292,446,547,477,274,99,15,1,2,2,14,92,215,456,738,1412,5,2937
Se24 脳梗塞,2011,4,2011-04-01,0,0,0,0,0,0,3,1,8,11,7,46,98,228,421,750,1311,1519,1309,623,143,0,0,0,4,19,53,326,1171,4905,0,6478
Se25 大動脈瘤及び解離,2011,4,2011-04-01,0,0,2,0,0,0,2,5,6,7,23,30,74,84,127,186,269,257,137,41,3,0,2,0,7,13,53,158,313,707,0,1253
Se26 肺炎,2011,4,2011-04-01,7,1,1,1,5,4,7,8,13,31,36,74,156,271,532,1195,2145,2554,2153,1122,263,8,2,9,15,44,110,427,1727,8237,2,10581
Se27 慢性閉塞性肺疾患,2011,4,2011-04-01,0,0,0,0,0,1,0,2,1,0,2,8,28,42,104,245,350,350,196,68,12,0,0,1,2,1,10,70,349,976,0,1409
Se28 喘息,2011,4,2011-04-01,0,1,0,0,0,0,1,3,1,5,3,3,8,8,7,8,20,44,23,19,6,1,0,0,4,6,6,16,15,112,0,160
Se29 肝疾患,2011,4,2011-04-01,3,0,0,0,1,0,7,13,22,54,93,98,204,183,174,198,176,135,69,16,2,3,0,1,20,76,191,387,372,398,0,1448
Se30 腎不全,2011,4,2011-04-01,2,2,0,1,0,0,1,2,5,1,17,29,64,91,148,276,389,550,402,163,35,4,1,0,3,6,46,155,424,1539,0,2178
Se31 老衰,2011,4,2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,7,22,90,378,851,1278,1093,475,0,0,0,0,0,0,8,112,4075,0,4195
Se32 不慮の事故,2011,4,2011-04-01,55,13,17,58,59,62,73,90,104,110,153,179,300,340,427,542,696,535,344,135,17,68,75,121,163,214,332,640,969,1727,154,4463
Se33 交通事故,2011,4,2011-04-01,4,4,8,32,19,16,16,19,26,17,32,33,54,38,64,60,57,28,9,1,0,8,40,35,35,43,65,92,124,95,0,537
Se34 自殺,2011,4,2011-04-01,0,0,6,48,125,114,156,183,197,198,240,245,262,196,169,139,95,60,24,5,1,0,54,239,339,395,485,458,308,185,8,2471
総数,2011,5,2011-05-01,369,119,131,192,303,410,502,828,1009,1333,1988,3308,6195,6795,9440,13743,18007,18334,13151,6663,1593,488,323,713,1330,2342,5296,12990,23183,57748,210,104623
Se01 結核,2011,5,2011-05-01,0,0,0,0,0,0,0,0,0,3,2,1,5,13,8,25,42,53,17,8,1,0,0,0,0,3,3,18,33,121,0,178
Se02 悪性新生物＜腫瘍＞,2011,5,2011-05-01,7,10,15,18,15,32,57,155,248,388,656,1368,2875,3223,4037,4998,5152,3808,1856,614,70,17,33,47,212,636,2024,6098,9035,11500,1,29603
